부정단어
고증 오류
센스없다
센스 없다
노잼
수정
오타
오글
베꼇
베낀
사과
맞춤법
부족
별로
별론
3류
뻔하
뻔한
뻔해
망해
불필요
아쉬운
재미없
난해
안볼
안보겠
접습
1점
2점
현실성없
현실성 없
바꾸시
짧다
짧네
짧아
못그리
못그림
노젬
들쭉날쭉
급전개
아닌가
대충
인체비율
표절
거슬
표기
베낀
베꼈
지루
가 더 좋다
가 더 좋은
취향은 아니
취향이 아니
내용 쓰레기
재수
